Pickup Location,lat,lon
Narsinghpur,28.61536,77.23056
Panchsheel Park,28.610799999999998,77.21272
Badarpur,28.658479999999997,77.20608
Pataudi Chowk,28.604799999999997,77.24455999999999
Gwal Pahari,28.64408,77.20352
Tagore Garden,28.62576,77.22808
Samaypur Badli,28.66952,77.2116
Hero Honda Chowk,28.62888,77.23896
Delhi Gate,28.603759999999998,77.22736
Chanakyapuri,28.6004,77.22488
RK Puram,28.661279999999998,77.1968
Shivaji Park,28.64632,77.23592
Keshav Puram,28.59336,77.23328
Saket A Block,28.552480000000003,77.19592
ITO,28.60496,77.24784
Indraprastha,28.62568,77.24992
Janakpuri,28.6084,77.07168
Ashok Park Main,28.59184,77.05055999999999
Connaught Place,28.61216,77.21168
Jahangirpuri,28.667279999999998,77.23064
Govindpuri,28.65616,77.2484
Welcome,28.59928,77.25664
Preet Vihar,28.58896,77.30592
Indirapuram,28.694080000000003,77.42984
Kalkaji,28.6172,77.22032
Sonipat,28.65216,77.19472
Netaji Subhash Place,28.643359999999998,77.18656
South Extension,28.62952,77.23488
Kadarpur,28.63392,77.25919999999999
Arjangarh,28.55576,77.16504
Chirag Delhi,28.50064,77.18048
Manesar,28.64752,77.20488
Green Park,28.61152,77.24408
Badshahpur,28.42056,77.00056000000001
Ashok Vihar,28.69664,77.15192
Nehru Place,28.628239999999998,77.1876
Chandni Chowk,28.5988,77.22536
Gurgaon Railway Station,28.474719999999998,76.99888
Inderlok,28.6012,77.24272
Rajouri Garden,28.58592,77.08232
Bhiwadi,28.24264,76.90728
Subhash Chowk,28.62456,77.23136
Rohini East,28.724,77.2276
Peeragarhi,28.60016,77.2488
Vasant Kunj,28.492160000000002,77.23768
Pulbangash,28.66368,77.18664
Kaushambi,28.59272,77.20712
Bhikaji Cama Place,28.553440000000002,77.22752
Kirti Nagar,28.6664,77.20192
Paharganj,28.610319999999998,77.24256
Subhash Nagar,28.66192,77.25496
Old Gurgaon,28.47168,77.00280000000001
Udyog Vihar,28.617279999999997,77.25944
Hauz Khas,28.665039999999998,77.25136
Paschim Vihar,28.59592,77.05024
Ambience Mall,28.60392,77.23631999999999
Lal Quila,28.59064,77.21496
