date,hour,day,day_name,cluster,rainfall_mm,booking_id
2024-08-03,9,3,Saturday,20,0.0,"""CNR4660896"""
2024-03-20,9,20,Wednesday,16,0.0,"""CNR2513330"""
2024-01-25,12,25,Thursday,0,0.0,"""CNR9252424"""
2024-11-04,11,4,Monday,21,0.0,"""CNR3096031"""
2024-06-17,20,17,Monday,22,23.7,"""CNR4141159"""
2024-07-29,19,29,Monday,23,0.0,"""CNR6757829"""
2024-12-22,10,22,Sunday,0,0.0,"""CNR6204326"""
2024-12-21,21,21,Saturday,2,4.9,"""CNR3347993"""
2024-02-23,11,23,Friday,1,0.0,"""CNR6796311"""
2024-05-05,21,5,Sunday,0,0.0,"""CNR3908312"""
2024-08-11,17,11,Sunday,14,147.2,"""CNR9416323"""
2024-12-26,21,26,Thursday,0,0.0,"""CNR2912296"""
2024-05-09,7,9,Thursday,0,0.0,"""CNR4611314"""
2024-11-25,8,25,Monday,12,0.0,"""CNR2601752"""
2024-08-15,18,15,Thursday,19,137.0,"""CNR5793527"""
2024-10-02,9,2,Wednesday,0,0.0,"""CNR4487090"""
2024-09-26,11,26,Thursday,24,32.4,"""CNR5266935"""
2024-01-07,17,7,Sunday,0,0.0,"""CNR1487489"""
2024-10-19,16,19,Saturday,22,0.0,"""CNR6351034"""
2024-09-02,10,2,Monday,0,0.0,"""CNR7600870"""
2024-03-31,12,31,Sunday,0,0.0,"""CNR5444321"""
2024-11-12,17,12,Tuesday,0,0.0,"""CNR8509610"""
2024-06-19,16,19,Wednesday,0,0.0,"""CNR6851549"""
2024-06-20,18,20,Thursday,16,0.0,"""CNR3318044"""
2024-10-07,2,7,Monday,0,0.0,"""CNR3126177"""
2024-06-02,21,2,Sunday,0,0.0,"""CNR6453539"""
2024-09-30,12,30,Monday,0,0.0,"""CNR7449144"""
2024-09-20,13,20,Friday,0,34.0,"""CNR1970319"""
2024-04-30,20,30,Tuesday,0,0.0,"""CNR4415815"""
2024-04-06,20,6,Saturday,0,0.0,"""CNR3899082"""
2024-10-30,16,30,Wednesday,2,0.0,"""CNR3274519"""
2024-11-08,18,8,Friday,0,0.0,"""CNR3263958"""
2024-05-21,17,21,Tuesday,0,0.0,"""CNR5822542"""
2024-08-10,8,10,Saturday,8,0.0,"""CNR9652983"""
2024-03-26,18,26,Tuesday,2,0.0,"""CNR2598306"""
2024-06-24,18,24,Monday,11,0.0,"""CNR3274827"""
2024-03-28,19,28,Thursday,0,0.0,"""CNR9139265"""
2024-09-27,20,27,Friday,0,0.0,"""CNR8036415"""
2024-04-26,15,26,Friday,4,0.0,"""CNR8433849"""
2024-05-19,18,19,Sunday,25,0.0,"""CNR2948784"""
2024-05-06,11,6,Monday,0,0.0,"""CNR1996806"""
2024-07-01,16,1,Monday,8,177.0,"""CNR6241612"""
2024-04-19,14,19,Friday,18,0.0,"""CNR5222120"""
2024-03-31,16,31,Sunday,0,0.0,"""CNR6596872"""
2024-03-26,19,26,Tuesday,0,0.0,"""CNR7149058"""
2024-10-06,15,6,Sunday,25,0.0,"""CNR5726463"""
2024-08-16,17,16,Friday,0,48.5,"""CNR3975551"""
2024-04-02,15,2,Tuesday,6,0.0,"""CNR8637930"""
2024-06-24,18,24,Monday,0,0.0,"""CNR9935095"""
2024-03-23,11,23,Saturday,0,0.0,"""CNR8893726"""
2024-07-21,10,21,Sunday,0,0.0,"""CNR3975051"""
2024-09-22,6,22,Sunday,17,0.0,"""CNR1984811"""
2024-05-26,22,26,Sunday,13,0.0,"""CNR7036055"""
2024-03-30,13,30,Saturday,0,0.0,"""CNR3449107"""
2024-09-19,8,19,Thursday,0,18.9,"""CNR6919653"""
2024-12-26,16,26,Thursday,7,0.0,"""CNR8504461"""
2024-06-28,10,28,Friday,4,0.0,"""CNR3712671"""
2024-11-30,18,30,Saturday,3,0.0,"""CNR8819329"""
2024-04-11,13,11,Thursday,0,0.0,"""CNR3734278"""
2024-04-16,19,16,Tuesday,0,0.0,"""CNR2472864"""
2024-12-09,5,9,Monday,0,0.0,"""CNR3239651"""
2024-07-06,18,6,Saturday,0,341.6,"""CNR2646387"""
2024-01-06,15,6,Saturday,0,0.0,"""CNR4724814"""
2024-05-05,14,5,Sunday,0,0.0,"""CNR2200152"""
2024-01-15,17,15,Monday,0,0.0,"""CNR5060137"""
2024-08-07,17,7,Wednesday,0,13.2,"""CNR9291876"""
2024-08-14,17,14,Wednesday,11,103.8,"""CNR4212658"""
2024-07-31,17,31,Wednesday,0,311.1,"""CNR7677229"""
2024-08-05,16,5,Monday,0,57.3,"""CNR4415643"""
2024-07-29,12,29,Monday,0,0.0,"""CNR4092218"""
2024-09-08,16,8,Sunday,0,0.0,"""CNR8034979"""
2024-08-15,22,15,Thursday,0,137.0,"""CNR7228014"""
2024-02-10,9,10,Saturday,0,0.0,"""CNR1435581"""
2024-12-05,1,5,Thursday,0,0.0,"""CNR5373942"""
2024-02-20,18,20,Tuesday,0,0.0,"""CNR3434703"""
2024-05-26,20,26,Sunday,26,0.0,"""CNR6987620"""
2024-12-24,10,24,Tuesday,27,0.0,"""CNR4132145"""
2024-07-06,17,6,Saturday,0,341.6,"""CNR8207805"""
2024-04-28,19,28,Sunday,0,0.0,"""CNR1438443"""
2024-01-26,18,26,Friday,0,0.0,"""CNR6129081"""
2024-01-18,23,18,Thursday,22,0.0,"""CNR1361929"""
2024-04-15,19,15,Monday,0,0.0,"""CNR2687237"""
2024-12-19,20,19,Thursday,0,0.0,"""CNR7486337"""
2024-01-22,18,22,Monday,0,6.7,"""CNR4269906"""
2024-08-08,21,8,Thursday,0,0.0,"""CNR1224347"""
2024-05-21,20,21,Tuesday,28,0.0,"""CNR1401386"""
2024-08-17,12,17,Saturday,24,0.0,"""CNR2013487"""
2024-02-06,21,6,Tuesday,0,0.0,"""CNR7409512"""
2024-11-03,22,3,Sunday,8,0.0,"""CNR7658099"""
2024-11-20,16,20,Wednesday,0,0.0,"""CNR1980045"""
2024-10-23,10,23,Wednesday,7,0.0,"""CNR8584951"""
2024-10-08,18,8,Tuesday,29,0.0,"""CNR2607733"""
2024-06-05,19,5,Wednesday,30,28.7,"""CNR6693847"""
2024-11-13,6,13,Wednesday,0,0.0,"""CNR9749627"""
2024-09-16,16,16,Monday,0,23.2,"""CNR1706908"""
2024-05-16,12,16,Thursday,0,0.0,"""CNR6236514"""
2024-02-15,19,15,Thursday,0,0.0,"""CNR9048385"""
2024-01-08,6,8,Monday,0,0.0,"""CNR1903168"""
2024-02-05,19,5,Monday,0,0.0,"""CNR2922907"""
2024-08-27,6,27,Tuesday,0,0.0,"""CNR7621341"""
2024-10-20,12,20,Sunday,0,0.0,"""CNR5803828"""
2024-06-25,23,25,Tuesday,11,0.0,"""CNR4868713"""
2024-02-13,6,13,Tuesday,1,0.0,"""CNR2575334"""
2024-10-07,16,7,Monday,31,0.0,"""CNR3841045"""
2024-10-06,7,6,Sunday,32,0.0,"""CNR5265040"""
2024-11-07,14,7,Thursday,0,0.0,"""CNR8112878"""
2024-06-20,7,20,Thursday,0,0.0,"""CNR4617937"""
2024-11-18,16,18,Monday,30,0.0,"""CNR7311169"""
2024-05-03,12,3,Friday,32,0.0,"""CNR7340396"""
2024-12-01,9,1,Sunday,0,0.0,"""CNR4259279"""
2024-05-17,1,17,Friday,0,0.0,"""CNR7554746"""
2024-05-13,21,13,Monday,17,0.0,"""CNR9430550"""
2024-04-01,6,1,Monday,2,0.0,"""CNR9984761"""
2024-06-19,22,19,Wednesday,33,0.0,"""CNR4112922"""
2024-01-07,18,7,Sunday,33,0.0,"""CNR5939223"""
2024-05-11,17,11,Saturday,0,0.0,"""CNR7645307"""
2024-04-26,21,26,Friday,21,0.0,"""CNR4722464"""
2024-02-22,22,22,Thursday,31,0.0,"""CNR3191144"""
2024-04-12,14,12,Friday,0,0.0,"""CNR4720063"""
2024-10-11,9,11,Friday,0,0.0,"""CNR6216825"""
2024-12-12,12,12,Thursday,0,0.0,"""CNR5314934"""
2024-02-03,22,3,Saturday,7,0.0,"""CNR5517193"""
2024-12-07,16,7,Saturday,0,0.0,"""CNR8412946"""
2024-12-17,19,17,Tuesday,0,0.0,"""CNR1867567"""
2024-08-29,21,29,Thursday,0,106.7,"""CNR3455701"""
2024-03-25,18,25,Monday,0,0.0,"""CNR5149854"""
2024-06-30,21,30,Sunday,0,22.7,"""CNR6027511"""
2024-07-18,2,18,Thursday,0,0.0,"""CNR4569804"""
2024-03-14,23,14,Thursday,2,0.0,"""CNR7585582"""
2024-09-26,12,26,Thursday,0,32.4,"""CNR5534901"""
2024-09-15,20,15,Sunday,0,101.7,"""CNR5784218"""
2024-12-05,10,5,Thursday,0,0.0,"""CNR6349771"""
2024-11-16,19,16,Saturday,18,0.0,"""CNR3708287"""
2024-07-19,16,19,Friday,0,0.0,"""CNR8365625"""
2024-02-12,20,12,Monday,0,0.0,"""CNR7435840"""
2024-08-08,14,8,Thursday,0,0.0,"""CNR8577529"""
2024-09-15,22,15,Sunday,0,101.7,"""CNR6158921"""
2024-05-30,18,30,Thursday,0,0.0,"""CNR7484371"""
2024-05-12,7,12,Sunday,0,0.0,"""CNR9301716"""
2024-07-16,19,16,Tuesday,0,69.4,"""CNR6511558"""
2024-06-14,16,14,Friday,0,0.0,"""CNR1801249"""
2024-06-01,20,1,Saturday,0,0.0,"""CNR5712520"""
2024-02-28,3,28,Wednesday,23,0.0,"""CNR1038498"""
2024-04-26,18,26,Friday,0,0.0,"""CNR2395349"""
2024-03-31,8,31,Sunday,11,0.0,"""CNR4896767"""
2024-04-04,16,4,Thursday,16,0.0,"""CNR5047025"""
2024-07-05,21,5,Friday,0,214.2,"""CNR7514462"""
2024-06-15,19,15,Saturday,0,0.0,"""CNR5269641"""
2024-06-14,20,14,Friday,0,0.0,"""CNR9927786"""
2024-04-03,21,3,Wednesday,15,0.0,"""CNR9619867"""
2024-01-23,10,23,Tuesday,0,0.0,"""CNR7250271"""
2024-10-28,15,28,Monday,34,0.0,"""CNR5629774"""
2024-06-02,10,2,Sunday,0,0.0,"""CNR4578797"""
2024-04-12,7,12,Friday,0,0.0,"""CNR5277125"""
2024-12-22,17,22,Sunday,0,0.0,"""CNR2343017"""
2024-08-24,21,24,Saturday,0,0.0,"""CNR4356773"""
2024-09-18,8,18,Wednesday,32,104.0,"""CNR1050716"""
2024-10-22,8,22,Tuesday,29,0.0,"""CNR7850961"""
2024-06-16,6,16,Sunday,0,0.0,"""CNR1254363"""
2024-12-22,9,22,Sunday,0,0.0,"""CNR6569789"""
2024-02-07,15,7,Wednesday,24,0.0,"""CNR6092310"""
2024-07-09,4,9,Tuesday,0,180.0,"""CNR2742692"""
2024-05-07,6,7,Tuesday,0,0.0,"""CNR7165550"""
2024-03-05,21,5,Tuesday,0,0.0,"""CNR9101826"""
2024-10-04,19,4,Friday,0,0.0,"""CNR7054338"""
2024-06-02,9,2,Sunday,2,0.0,"""CNR5871454"""
2024-04-22,17,22,Monday,0,0.0,"""CNR4399523"""
2024-09-25,18,25,Wednesday,0,0.0,"""CNR9707820"""
2024-08-07,18,7,Wednesday,25,13.2,"""CNR2693001"""
2024-04-06,15,6,Saturday,0,0.0,"""CNR3363167"""
2024-10-12,14,12,Saturday,0,0.0,"""CNR9573367"""
2024-07-27,10,27,Saturday,0,0.0,"""CNR4563554"""
2024-07-13,2,13,Saturday,0,0.0,"""CNR3121090"""
2024-06-14,11,14,Friday,0,0.0,"""CNR2969701"""
2024-10-16,21,16,Wednesday,0,0.0,"""CNR3590282"""
2024-05-05,19,5,Sunday,0,0.0,"""CNR5792733"""
2024-02-18,16,18,Sunday,0,0.0,"""CNR7417036"""
2024-08-14,14,14,Wednesday,0,103.8,"""CNR7957879"""
2024-07-03,10,3,Wednesday,0,338.3,"""CNR3649243"""
2024-08-29,17,29,Thursday,0,106.7,"""CNR8918353"""
2024-06-28,23,28,Friday,0,0.0,"""CNR1343265"""
2024-12-24,10,24,Tuesday,23,0.0,"""CNR1390232"""
2024-05-25,8,25,Saturday,0,0.0,"""CNR3047231"""
2024-01-02,9,2,Tuesday,0,0.0,"""CNR5380412"""
2024-10-03,21,3,Thursday,0,0.0,"""CNR4886117"""
2024-03-03,13,3,Sunday,0,0.0,"""CNR1155206"""
2024-10-26,13,26,Saturday,11,0.0,"""CNR7623737"""
2024-11-07,20,7,Thursday,0,0.0,"""CNR5468556"""
2024-04-04,8,4,Thursday,0,0.0,"""CNR8037805"""
2024-06-09,16,9,Sunday,0,0.0,"""CNR5137585"""
2024-12-20,10,20,Friday,0,0.0,"""CNR5622847"""
2024-04-07,11,7,Sunday,30,0.0,"""CNR4461457"""
2024-09-25,15,25,Wednesday,0,0.0,"""CNR3788830"""
2024-10-17,17,17,Thursday,2,0.0,"""CNR8254837"""
2024-01-06,8,6,Saturday,0,0.0,"""CNR5483670"""
2024-12-25,5,25,Wednesday,0,0.0,"""CNR7372127"""
2024-04-07,8,7,Sunday,0,0.0,"""CNR5166870"""
2024-04-23,11,23,Tuesday,0,0.0,"""CNR1915557"""
2024-11-02,18,2,Saturday,0,0.0,"""CNR3460247"""
2024-04-28,14,28,Sunday,0,0.0,"""CNR8192412"""
2024-03-22,21,22,Friday,0,0.0,"""CNR7439127"""
2024-04-28,7,28,Sunday,0,0.0,"""CNR3712135"""
2024-01-05,9,5,Friday,35,0.0,"""CNR1675599"""
2024-12-01,18,1,Sunday,0,0.0,"""CNR1935772"""
2024-07-05,20,5,Friday,10,214.2,"""CNR4730676"""
2024-08-27,9,27,Tuesday,0,0.0,"""CNR6139544"""
2024-03-04,19,4,Monday,0,0.0,"""CNR3805926"""
2024-04-21,12,21,Sunday,0,0.0,"""CNR5129655"""
2024-09-15,19,15,Sunday,0,101.7,"""CNR8725828"""
2024-05-14,14,14,Tuesday,0,0.0,"""CNR6557966"""
2024-09-18,18,18,Wednesday,28,104.0,"""CNR5403690"""
2024-07-27,21,27,Saturday,0,0.0,"""CNR4969264"""
2024-07-10,16,10,Wednesday,36,50.9,"""CNR6028710"""
2024-11-19,7,19,Tuesday,20,0.0,"""CNR3761377"""
2024-06-27,17,27,Thursday,0,0.0,"""CNR2650074"""
2024-03-16,19,16,Saturday,0,0.0,"""CNR7381283"""
2024-06-16,21,16,Sunday,0,0.0,"""CNR2531495"""
2024-04-13,11,13,Saturday,0,0.0,"""CNR1939605"""
2024-09-08,3,8,Sunday,10,0.0,"""CNR5149041"""
2024-11-28,20,28,Thursday,0,0.0,"""CNR7041241"""
2024-08-30,19,30,Friday,0,107.3,"""CNR8035160"""
2024-11-07,20,7,Thursday,8,0.0,"""CNR1918341"""
2024-07-25,19,25,Thursday,0,124.0,"""CNR9600846"""
2024-08-17,18,17,Saturday,0,0.0,"""CNR2775291"""
2024-02-18,18,18,Sunday,0,0.0,"""CNR4263854"""
2024-06-16,10,16,Sunday,21,0.0,"""CNR4635401"""
2024-08-07,21,7,Wednesday,0,13.2,"""CNR2135475"""
2024-02-26,14,26,Monday,0,18.6,"""CNR2438435"""
2024-02-28,16,28,Wednesday,0,0.0,"""CNR2068345"""
2024-12-27,1,27,Friday,0,0.0,"""CNR6107939"""
2024-06-12,16,12,Wednesday,19,70.6,"""CNR6577172"""
2024-05-13,18,13,Monday,9,0.0,"""CNR1957129"""
2024-09-05,17,5,Thursday,0,68.0,"""CNR1531092"""
2024-11-19,21,19,Tuesday,0,0.0,"""CNR6891932"""
2024-04-04,14,4,Thursday,21,0.0,"""CNR2192659"""
2024-11-19,20,19,Tuesday,0,0.0,"""CNR6262174"""
2024-04-06,20,6,Saturday,37,0.0,"""CNR7791863"""
2024-08-13,13,13,Tuesday,0,189.3,"""CNR8243301"""
2024-12-25,11,25,Wednesday,2,0.0,"""CNR9897424"""
2024-06-30,11,30,Sunday,33,22.7,"""CNR5745004"""
2024-01-20,21,20,Saturday,0,0.0,"""CNR9659819"""
2024-10-04,11,4,Friday,0,0.0,"""CNR8084453"""
2024-07-28,9,28,Sunday,32,0.0,"""CNR6574173"""
2024-04-08,8,8,Monday,0,0.0,"""CNR4467044"""
2024-05-08,15,8,Wednesday,23,0.0,"""CNR3334608"""
2024-08-16,12,16,Friday,0,48.5,"""CNR3901250"""
2024-03-21,1,21,Thursday,0,0.0,"""CNR3899180"""
2024-04-29,22,29,Monday,0,0.0,"""CNR7686844"""
2024-06-05,13,5,Wednesday,12,28.7,"""CNR7619619"""
2024-09-13,15,13,Friday,0,0.0,"""CNR3128056"""
2024-05-18,6,18,Saturday,0,0.0,"""CNR2415257"""
2024-06-10,21,10,Monday,0,0.0,"""CNR9756448"""
2024-10-10,3,10,Thursday,0,4.5,"""CNR5071968"""
2024-05-14,6,14,Tuesday,5,0.0,"""CNR9262105"""
2024-12-28,15,28,Saturday,0,0.0,"""CNR6026973"""
2024-11-11,16,11,Monday,0,0.0,"""CNR6798581"""
2024-08-20,9,20,Tuesday,0,277.7,"""CNR1511311"""
2024-05-29,22,29,Wednesday,19,0.0,"""CNR1690974"""
2024-11-19,17,19,Tuesday,0,0.0,"""CNR2405566"""
2024-11-27,8,27,Wednesday,7,0.0,"""CNR5503992"""
2024-02-10,2,10,Saturday,8,0.0,"""CNR5487256"""
2024-04-13,18,13,Saturday,0,0.0,"""CNR9280980"""
2024-12-29,19,29,Sunday,19,0.0,"""CNR5735365"""
2024-05-06,10,6,Monday,32,0.0,"""CNR7094496"""
2024-08-04,18,4,Sunday,30,0.0,"""CNR8674052"""
2024-05-26,20,26,Sunday,0,0.0,"""CNR3317899"""
2024-03-10,9,10,Sunday,0,0.0,"""CNR7648257"""
2024-07-23,1,23,Tuesday,0,0.0,"""CNR9887499"""
2024-09-10,2,10,Tuesday,2,0.0,"""CNR5899408"""
2024-06-11,13,11,Tuesday,17,40.9,"""CNR4090725"""
2024-02-17,11,17,Saturday,38,0.0,"""CNR7912140"""
2024-08-19,16,19,Monday,2,120.7,"""CNR1149573"""
2024-08-07,13,7,Wednesday,0,13.2,"""CNR9795191"""
2024-08-19,14,19,Monday,15,120.7,"""CNR6845177"""
2024-05-13,19,13,Monday,0,0.0,"""CNR6115510"""
2024-02-28,15,28,Wednesday,0,0.0,"""CNR6859535"""
2024-05-03,13,3,Friday,0,0.0,"""CNR2514823"""
2024-10-11,10,11,Friday,17,0.0,"""CNR5197106"""
2024-10-06,17,6,Sunday,0,0.0,"""CNR5958707"""
2024-07-13,20,13,Saturday,0,0.0,"""CNR7438691"""
2024-07-13,8,13,Saturday,0,0.0,"""CNR4717203"""
2024-01-16,2,16,Tuesday,33,0.0,"""CNR3871982"""
2024-05-30,16,30,Thursday,23,0.0,"""CNR7276252"""
2024-04-07,17,7,Sunday,0,0.0,"""CNR8591450"""
2024-09-05,9,5,Thursday,0,68.0,"""CNR2118165"""
2024-04-02,21,2,Tuesday,0,0.0,"""CNR1580852"""
2024-06-06,17,6,Thursday,0,8.2,"""CNR8400555"""
2024-07-30,21,30,Tuesday,0,66.5,"""CNR2392283"""
2024-08-23,15,23,Friday,0,0.0,"""CNR8799283"""
2024-01-05,18,5,Friday,0,0.0,"""CNR7692801"""
2024-03-18,17,18,Monday,11,0.0,"""CNR8406654"""
2024-09-16,12,16,Monday,0,23.2,"""CNR5193961"""
2024-12-25,18,25,Wednesday,0,0.0,"""CNR9045710"""
2024-07-25,14,25,Thursday,11,124.0,"""CNR1884447"""
2024-04-03,18,3,Wednesday,5,0.0,"""CNR5929425"""
2024-10-30,3,30,Wednesday,0,0.0,"""CNR3795914"""
2024-07-24,5,24,Wednesday,0,274.4,"""CNR5115903"""
2024-05-13,17,13,Monday,0,0.0,"""CNR7223335"""
2024-09-29,19,29,Sunday,33,30.6,"""CNR3338595"""
2024-12-24,18,24,Tuesday,0,0.0,"""CNR1610053"""
2024-11-23,14,23,Saturday,0,0.0,"""CNR4383491"""
2024-02-22,19,22,Thursday,0,0.0,"""CNR4238002"""
2024-11-01,16,1,Friday,0,0.0,"""CNR2471315"""
2024-08-26,21,26,Monday,0,323.4,"""CNR7554909"""
2024-02-04,14,4,Sunday,0,0.0,"""CNR4559667"""
2024-01-12,16,12,Friday,11,0.0,"""CNR7943612"""
2024-05-02,19,2,Thursday,0,0.0,"""CNR9513281"""
2024-06-03,18,3,Monday,0,0.0,"""CNR3228885"""
2024-09-22,15,22,Sunday,8,0.0,"""CNR6838313"""
2024-07-24,23,24,Wednesday,11,274.4,"""CNR7513763"""
2024-04-24,4,24,Wednesday,0,0.0,"""CNR4249572"""
2024-12-04,9,4,Wednesday,0,0.0,"""CNR1730323"""
2024-12-28,3,28,Saturday,0,0.0,"""CNR3316127"""
2024-09-09,21,9,Monday,0,156.7,"""CNR5001450"""
2024-03-16,14,16,Saturday,0,0.0,"""CNR2994632"""
2024-04-30,11,30,Tuesday,2,0.0,"""CNR8349332"""
2024-12-08,16,8,Sunday,0,0.0,"""CNR6785391"""
2024-10-21,6,21,Monday,2,0.0,"""CNR4239039"""
2024-10-15,11,15,Tuesday,0,0.0,"""CNR3942728"""
2024-06-03,11,3,Monday,0,0.0,"""CNR2282162"""
2024-07-05,11,5,Friday,0,214.2,"""CNR4677505"""
2024-07-28,20,28,Sunday,0,0.0,"""CNR8185605"""
2024-01-24,10,24,Wednesday,0,0.0,"""CNR5351433"""
2024-08-29,2,29,Thursday,0,106.7,"""CNR8880913"""
2024-07-02,21,2,Tuesday,0,331.4,"""CNR3643495"""
2024-02-10,23,10,Saturday,0,0.0,"""CNR8399435"""
2024-01-12,13,12,Friday,33,0.0,"""CNR5699093"""
2024-12-30,17,30,Monday,39,0.0,"""CNR1090037"""
2024-06-07,19,7,Friday,0,10.5,"""CNR1672620"""
2024-01-27,13,27,Saturday,8,0.0,"""CNR4811296"""
2024-12-26,7,26,Thursday,0,0.0,"""CNR6421218"""
2024-08-23,11,23,Friday,14,0.0,"""CNR7297536"""
2024-04-28,1,28,Sunday,0,0.0,"""CNR2290384"""
2024-07-03,12,3,Wednesday,0,338.3,"""CNR2229358"""
2024-02-01,9,1,Thursday,0,0.0,"""CNR4246484"""
2024-01-21,19,21,Sunday,0,0.0,"""CNR9882850"""
2024-05-06,13,6,Monday,0,0.0,"""CNR3234899"""
2024-02-14,14,14,Wednesday,35,0.0,"""CNR9159821"""
2024-02-24,23,24,Saturday,16,0.0,"""CNR3377580"""
2024-01-19,21,19,Friday,0,0.0,"""CNR7286285"""
2024-02-07,15,7,Wednesday,2,0.0,"""CNR8901989"""
2024-02-27,9,27,Tuesday,0,0.0,"""CNR9222191"""
2024-04-15,12,15,Monday,0,0.0,"""CNR6647107"""
2024-07-31,22,31,Wednesday,0,311.1,"""CNR9775227"""
2024-10-14,23,14,Monday,0,0.0,"""CNR5436498"""
2024-12-23,19,23,Monday,0,0.0,"""CNR9394835"""
2024-08-29,19,29,Thursday,0,106.7,"""CNR7811486"""
2024-06-09,16,9,Sunday,4,0.0,"""CNR9208205"""
2024-03-22,16,22,Friday,1,0.0,"""CNR6583672"""
2024-11-12,10,12,Tuesday,16,0.0,"""CNR5706641"""
2024-09-08,22,8,Sunday,18,0.0,"""CNR8005201"""
2024-03-02,19,2,Saturday,0,0.0,"""CNR7534075"""
2024-07-24,6,24,Wednesday,33,274.4,"""CNR1712916"""
2024-10-19,10,19,Saturday,0,0.0,"""CNR8081487"""
2024-10-29,6,29,Tuesday,0,0.0,"""CNR4056850"""
2024-07-02,18,2,Tuesday,2,331.4,"""CNR6714334"""
2024-03-29,20,29,Friday,28,0.0,"""CNR7702733"""
