cluster,ride_count,center_latitude,center_longitude,average_fare,average_distance,peak_period,period_rides,peak_period_lift
152,860,28.66368,77.18664,499.4633730834753,24.364293015332198,Night,120,1.1781723928026757
54,859,28.61696,77.30888,490.9407783417936,24.86138747884941,Afternoon,226,1.0568393122276807
38,858,28.69304,77.2132,467.6273187183811,25.00399662731872,Evening,322,1.077989818151822
134,857,28.65216,77.19472,465.6786324786325,24.627760683760684,Night,112,1.1034769046553259
153,855,28.59272,77.20712,520.1731748726655,25.36565365025467,Night,109,1.0764315799349202
73,855,28.636,77.22904,477.9025641025641,25.804017094017095,Night,111,1.0961826180988636
78,854,28.65808,77.25512,525.5209059233449,24.799947735191637,Evening,311,1.0460407257625637
132,854,28.694080000000003,77.42984,515.964093357271,23.622046678635545,Afternoon,221,1.0395086018631254
119,854,28.60376,77.22735999999999,498.4675540765391,24.538602329450917,Morning,255,1.049616309670893
12,854,28.62184,77.21264,485.8383128295255,24.037416520210897,Night,109,1.0776920384594344
41,853,28.59376,77.1844,484.03344481605353,25.299866220735787,Afternoon,224,1.054854771299637
90,852,28.62664,77.20559999999999,514.177554438861,24.54457286432161,Evening,307,1.0350107384892646
146,852,28.58592,77.08232,515.9403508771929,25.44115789473684,Night,110,1.0901321240134305
19,851,28.69776,77.18896,493.6585365853659,25.504564459930315,Night,109,1.0814911878312068
112,851,28.67464,77.4388,513.3321858864027,25.063476764199656,Night,119,1.1807105628615926
121,850,28.66128,77.1968,502.6144975288303,24.429472817133444,Evening,304,1.0273081485136135
126,850,28.625679999999996,77.24992,524.7721739130435,23.995808695652173,Night,112,1.1125643615171934
77,850,28.63768,77.25344,505.8506151142355,24.43885764499121,Night,115,1.142365192629261
15,849,28.61784,77.23112,528.8016949152542,24.14435593220339,Evening,303,1.0251348864363692
108,848,28.65688,77.22528,517.6937716262976,25.73764705882353,Morning,266,1.102640766602288
127,848,28.6084,77.07168,505.8686514886165,25.175376532399298,Evening,316,1.070378323185966
147,848,28.24264,76.90728,513.4263431542461,25.050606585788564,Afternoon,216,1.0231789183710385
71,847,28.69832,77.18072,490.98151260504204,24.624268907563025,Afternoon,223,1.0575846461347067
40,847,28.62728,77.21168,529.8493150684932,25.510513698630135,Afternoon,224,1.0623271781801538
34,847,28.61272,77.24696,501.5831873905429,24.76388791593695,Afternoon,221,1.0480995820438126
9,847,28.72776,77.15656,493.874363327674,24.33504244482173,Night,108,1.0766297898810755
33,846,28.634560000000004,77.24744,531.470796460177,24.78258407079646,Afternoon,214,1.0161015053116467
105,845,28.60888,77.19016,515.3160621761658,24.499620034542314,Evening,314,1.0673798849201317
136,844,28.62952,77.23488,495.45742904841404,24.24312186978297,Night,109,1.0904609014743565
65,844,28.60784,77.21984,514.7338003502626,24.045936952714534,Afternoon,222,1.0565844438786764
137,844,28.63392,77.25919999999999,522.5322580645161,24.65831541218638,Evening,306,1.0414179402141701
39,843,28.59584,77.25736,517.7175438596491,24.758368421052634,Morning,261,1.0883314852547346
88,842,28.44112,77.05448,505.4076655052265,25.05987804878049,Night,109,1.0930510698864095
60,842,28.64688,77.18816,518.0744500846024,24.545313028764806,Evening,302,1.0302459749790778
53,840,28.58392,77.05816,519.3910806174957,23.84346483704974,Evening,311,1.0634747378586065
70,840,28.60696,77.21344,534.9565943238731,24.85971619365609,Afternoon,215,1.0281414263525557
113,839,28.61536,77.23056,482.52313167259786,24.01656583629893,Night,104,1.0466402345279233
3,839,28.61272,77.25488,505.9578947368421,24.371473684210525,Evening,300,1.0270825931206145
68,839,28.64552,77.26888,485.96804511278197,23.841973684210526,Night,113,1.1372148702082243
75,838,28.612480000000005,77.2248,513.1564748201439,24.164658273381292,Night,107,1.0781167818785025
10,838,28.65416,77.2224,502.951526032316,24.924488330341113,Night,109,1.0982684974276335
104,838,28.61232,77.20368,500.8125,24.459444444444443,Morning,248,1.0402935909860909
52,836,28.601120000000005,77.18408,500.7297794117647,25.006249999999998,Evening,304,1.044511873488722
18,835,28.59144,77.22632,485.8525423728814,24.261779661016952,Night,108,1.0921023138075103
74,835,28.73544,77.16936,538.25,23.836133093525177,Afternoon,223,1.0727834673965229
48,834,28.65136,77.22848,495.17770034843204,25.04959930313589,Night,121,1.2250261710136534
8,834,28.51048,77.36128,490.4921465968586,23.902495636998253,Evening,298,1.0263518948729107
110,833,28.62816,77.21896,469.9092592592593,24.454666666666668,Night,106,1.0744517339725081
36,832,28.602399999999996,77.21576,497.1278458844133,24.000998248686514,Night,104,1.0554461018857304
131,832,28.58896,77.30592,514.5755919854281,25.33386156648452,Afternoon,220,1.0621675737363168
82,832,28.6268,77.18192,511.4928825622776,24.298665480427047,Evening,313,1.0806052825786265
29,831,28.43216,77.30904,487.3627819548872,24.18374060150376,Night,108,1.0973591239822755
49,831,28.591599999999996,77.29848,543.0513274336283,25.963486725663717,Afternoon,212,1.0247749990477326
135,830,28.643360000000005,77.18656,498.6835205992509,25.19043071161049,Afternoon,216,1.0453683406971572
44,830,28.640560000000004,77.22104,527.5964601769912,23.97775221238938,Night,118,1.2004109881688307
69,829,28.50952,77.17792,496.34200743494426,24.41975836431227,Evening,305,1.056796542688378
98,829,28.45088,77.03648,515.4113475177305,24.07154255319149,Afternoon,217,1.0514748461051078
161,827,28.59064,77.21496,495.6666666666667,23.738387096774193,Afternoon,216,1.0491604870358413
37,827,28.52832,77.34696,518.8836363636364,24.600472727272727,Night,104,1.0618272754158737
130,827,28.65616,77.2484,489.6983842010772,24.21912028725314,Night,112,1.1435062966017102
155,827,28.6664,77.20192,507.3731884057971,24.25393115942029,Evening,298,1.035039274877881
50,826,28.62424,77.21567999999999,507.11934900542497,24.853381555153707,Morning,271,1.1532872858205072
64,826,28.59888,77.2084,490.94894366197184,24.78806338028169,Morning,258,1.0979635414822542
80,825,28.63624,77.18504,498.79459459459457,24.738828828828826,Night,104,1.0644014021441548
159,825,28.59592,77.05024,499.68126094570925,24.70413309982487,Afternoon,221,1.0760489042316475
55,825,28.61944,77.05463999999999,502.66898954703834,24.068554006968643,Afternoon,221,1.0760489042316475
11,825,28.5976,77.20424,490.8535262206148,24.286582278481013,Morning,265,1.1291202236084126
100,824,28.43352,77.01528,486.58710801393727,25.656080139372822,Night,113,1.157916597214442
72,824,28.65472,77.18576,511.06049822064057,24.914697508896797,Night,104,1.0656931514186014
81,824,28.59624,77.24416,503.6258503401361,24.372057823129254,Morning,243,1.036638472375419
17,823,28.64872,77.20984,503.3956262425447,24.729602385685883,Afternoon,218,1.0640213512316257
124,823,28.552480000000003,77.19592,498.8972972972973,23.844666666666665,Night,104,1.0669880398164369
30,823,28.5904,77.25848,507.8986866791745,26.032739212007506,Afternoon,231,1.1274721657546127
154,821,28.55344,77.22752,500.7425925925926,25.131796296296297,Evening,302,1.0565981862757412
45,820,28.5956,77.1816,496.5441441441441,24.593315315315316,Night,108,1.1120797951576475
86,820,28.59224,77.20344,512.7640449438202,24.161198501872658,Afternoon,234,1.1462931296872283
67,818,28.64736,77.22112,531.3956834532374,26.03726618705036,Morning,247,1.0614313491987095
111,818,28.657840000000004,77.19808,501.10695187165777,24.525508021390372,Morning,246,1.0571340562869738
27,817,28.43384,77.0412,480.47275922671355,24.276449912126537,Night,106,1.0954936283954706
116,815,28.64408,77.20352,497.3805309734513,23.66971681415929,Morning,248,1.0696515696274163
66,815,28.66384,77.2176,514.0806754221388,24.750544090056287,Evening,293,1.03265698412704
93,811,28.601039999999998,77.22128,535.1164510166359,25.131109057301295,Afternoon,213,1.0549999369311462
138,810,28.55576,77.16504,547.2429378531074,24.841751412429378,Afternoon,218,1.0810982371155902
157,807,28.47168,77.00280000000001,502.2371916508539,25.472163187855788,Afternoon,223,1.1100051986073067
42,804,28.59752,77.32256,527.2446043165468,24.690431654676257,Morning,246,1.0755418632372444
133,803,28.6172,77.22032,510.21466905187833,24.812200357781755,Night,126,1.3248937368627847
61,802,28.67896,76.89904000000001,502.45054945054943,25.203589743589742,Night,101,1.0633422073861225
139,800,28.500639999999997,77.18048,507.6843100189036,24.56328922495274,Afternoon,228,1.1448235231107062
57,800,28.64512,77.20824,495.304189435337,23.953460837887068,Morning,240,1.0545556805399325
23,799,28.584960000000002,77.37151999999999,519.4891304347826,23.8113768115942,Afternoon,208,1.0457075414752077
89,797,28.61712,77.19344,487.54512635379064,24.860848375451262,Night,98,1.0382305443894764
142,796,28.69664,77.15192,518.680811808118,24.494280442804428,Morning,233,1.0289425191197834
4,790,28.56864,77.19736,491.164533820841,24.400530164533823,Afternoon,200,1.0169429474667613
